num,atom,x,y,z
1,N,59.818,8.628,-0.513
2,C,59.113,9.056,-1.604
3,C,58.945,8.300,-2.767
4,C,59.560,7.060,-2.729
5,C,58.252,8.619,-3.947
6,C,60.282,6.576,-1.657
7,C,60.391,7.392,-0.559
8,C,60.762,5.251,-2.000
9,C,61.522,4.340,-1.296
10,C,61.813,3.130,-1.931
11,C,58.217,7.686,-5.005
12,C,59.536,6.131,-3.757
13,C,60.295,4.971,-3.318
14,C,61.352,2.852,-3.230
15,C,58.857,6.436,-4.920
16,C,60.583,3.774,-3.943
