"","lys","coa","side","allo1","allo2"
"Garcinol",0,53.43,46.57,0,0
"CTB",10.23,47.29,42.48,0,0
"EGCG",7.71,49.38,42.91,0,0
"CTPB",22.06,39.47,38.48,0,0
"C646",23.76,39.29,36.95,0,0
