key,lig,model,E,rmsd_lb,rmsd_ub,pvr_effic,pvr_n_contacts,torsdof,adph_fraction,adph_atoms_fraction,fdla_fraction,fdla_atoms_fraction
h11_ab7_m3,ab7,3,-5.3,11.708,14.467,-0.265,11,12,0.30434782608695654,0.09195402298850575,0.0,0.0
h11_ab7_m2,ab7,2,-5.4,7.225,12.439,-0.27,11,12,0.2608695652173913,0.06896551724137931,0.0,0.0
h11_ab7_m1,ab7,1,-5.4,0.0,0.0,-0.27,6,12,0.17391304347826086,0.05747126436781609,0.0,0.0
h11_ab10_m2,ab10,2,-5.2,3.258,4.407,-0.2261,18,15,0.30434782608695654,0.13793103448275862,0.0,0.0
h11_ab10_m6,ab10,6,-5.0,5.685,9.108,-0.2174,9,15,0.17391304347826086,0.05747126436781609,0.0,0.0
h11_ab10_m3,ab10,3,-5.1,2.562,3.705,-0.2217,18,15,0.34782608695652173,0.11494252873563218,0.05,0.0
h11_adph_m1,adph,1,-8.8,0.0,0.0,-0.22,20,19,0.34782608695652173,0.11494252873563218,0.15,0.06060606060606061
h11_adph_m3,adph,3,-8.2,9.728,15.571,-0.205,20,19,0.21739130434782608,0.06896551724137931,0.3,0.12121212121212122
h11_adph_m2,adph,2,-8.4,1.35,1.607,-0.21,17,19,0.5217391304347826,0.14942528735632185,0.05,0.0
h11_adph_m5,adph,5,-8.1,1.867,3.14,-0.2025,33,19,0.7391304347826086,0.25287356321839083,0.05,0.015151515151515152
h11_adph_m4,adph,4,-8.1,3.027,4.279,-0.2025,24,19,0.4782608695652174,0.1839080459770115,0.1,0.045454545454545456
h11_adph_m7,adph,7,-8.0,7.041,11.142,-0.2,16,19,0.17391304347826086,0.06896551724137931,0.4,0.07575757575757576
h11_adph_m6,adph,6,-8.1,10.125,13.082,-0.2025,20,19,0.08695652173913043,0.034482758620689655,0.4,0.16666666666666666
h11_adph_m9,adph,9,-8.0,5.245,11.844,-0.2,13,19,0.34782608695652173,0.12643678160919541,0.05,0.015151515151515152
h11_adph_m8,adph,8,-8.0,2.726,4.759,-0.2,19,19,0.4782608695652174,0.12643678160919541,0.05,0.015151515151515152
h11_ab10_m7,ab10,7,-4.9,2.595,4.822,-0.213,12,15,0.30434782608695654,0.08045977011494253,0.05,0.030303030303030304
h11_ab10_m4,ab10,4,-5.1,1.892,3.333,-0.2217,13,15,0.34782608695652173,0.08045977011494253,0.05,0.015151515151515152
h11_ab10_m5,ab10,5,-5.1,15.076,18.509,-0.2217,17,15,0.0,0.0,0.4,0.15151515151515152
h11_ab10_m8,ab10,8,-4.9,14.849,18.108,-0.213,12,15,0.0,0.0,0.25,0.07575757575757576
h11_ab10_m9,ab10,9,-4.9,2.148,4.272,-0.213,12,15,0.30434782608695654,0.06896551724137931,0.0,0.0
h11_gb7_m9,gb7,9,-5.4,4.392,6.048,-0.27,11,12,0.30434782608695654,0.08045977011494253,0.0,0.0
h11_gb7_m8,gb7,8,-5.4,24.087,26.809,-0.27,14,12,0.0,0.0,0.0,0.0
h11_ga8_m8,ga8,8,-5.1,15.58,18.738,-0.2429,9,13,0.21739130434782608,0.04597701149425287,0.0,0.0
